Project,Package,Class,Method,CFG
foo,profiling.constraint.project,Project,getCFG,n0->n1:n0->n3:n1->n2:n1->n3:
foo,profiling.constraint.project,Project,countGetSetMethods,n0->n5:n1->n4:n2->n3:n2->n4:n3->n4:n4->n2:n4->n5:n5->n1:n5->n6:
foo,profiling.constraint.project,Project,extractAllMethods_jar,n0->n9:n1->n2:n1->n9:n2->n3:n2->n9:n3->n4:n4->n6:n4->n8:n5->n6:n5->n8:n6->n5:n6->n7:n6->n8:n7->n8:n7->n9:n8->n9:n9->n1:n9->n10:
foo,profiling.constraint.project,Project,countAbstractMethods,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.project,Project,extractAllMethods,n0->n13:n1->n2:n1->n3:n2->n12:n3->n4:n3->n12:n4->n5:n4->n6:n5->n6:n6->n7:n7->n9:n7->n11:n8->n9:n8->n11:n9->n8:n9->n10:n9->n11:n10->n11:n10->n12:n11->n12:n12->n13:n13->n1:n13->n14:
foo,profiling.constraint.project,Project,addMethod,n0->n1:n0->n2:n1->n2:
foo,profiling.constraint.graph,Edge,copy,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis,PathUtil,sortPaths,n0->n7:n1->n5:n2->n3:n2->n4:n3->n4:n4->n5:n5->n2:n5->n6:n6->n7:n7->n1:n7->n8:
foo,profiling.constraint.analysis.info,VariableInfo,increment,n0->n4:n1->n2:n1->n3:n2->n4:n3->n4:n4->n1:n4->n5:
foo,profiling.constraint.analysis.info,VariableInfo,getArrayTypes,n0->n3:n1->n2:n1->n3:n2->n3:n3->n1:n3->n4:
foo,profiling.constraint.analysis.info,VariableInfo,getObjectTypes,n0->n4:n1->n2:n1->n4:n2->n3:n2->n4:n3->n4:n4->n1:n4->n5:
foo,profiling.constraint.analysis.info,VariableInfo,getDistinctObjectTypes,n0->n3:n1->n2:n1->n3:n2->n3:n3->n1:n3->n4:
foo,profiling.constraint.analysis.info,VariableInfo,getPrimitiveTypes,n0->n3:n1->n2:n1->n3:n2->n3:n3->n1:n3->n4:
foo,profiling.constraint.analysis.info,VariableInfo,calculateMean,n0->n6:n1->n5:n2->n3:n2->n4:n3->n5:n4->n5:n5->n2:n5->n6:n6->n1:n6->n7:n7->n9:n8->n9:n9->n8:n9->n10:
foo,profiling.constraint.analysis.info,VariableInfo,increment,n0->n1:n0->n2:n1->n2:n2->n3:n2->n4:n3->n4:n4->n5:n4->n6:n5->n6:n6->n7:n6->n8:n7->n8:n8->n9:n8->n10:n9->n10:n10->n11:n10->n12:n11->n13:n12->n13:
foo,profiling.constraint.bytecode.instructionhandler,XConstHandler,handle,n0->n1:n0->n2:n1->n2:n2->n3:n2->n4:n3->n4:n4->n5:n4->n6:n5->n6:n6->n7:n6->n8:n7->n8:n8->n9:n8->n10:n9->n10:n10->n11:n10->n13:n11->n12:n11->n13:n12->n13:
foo,profiling.constraint.analysis.info,ParametersInfo,calculateMean,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis.stack,ArithmeticExpression,isVariableElement,n0->n1:n0->n3:n1->n2:n1->n3:n3->n4:n3->n5:n5->n6:n5->n7:n7->n8:n7->n9:
foo,profiling.constraint.analysis.stack,ArithmeticExpression,toString,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis.stack,ArithmeticExpression,setVisited,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis.stack,ArithmeticExpression,main,n0->n2:n1->n2:n2->n1:n2->n3:n3->n5:n4->n5:n5->n4:n5->n6:
foo,profiling.constraint.analysis.stack,ArithmeticExpression,hasVariableElement,n0->n10:n1->n2:n1->n4:n2->n3:n2->n4:n4->n5:n4->n6:n6->n7:n6->n8:n8->n9:n8->n10:n10->n1:n10->n11:
foo,profiling.constraint.analysis.stack,ArithmeticExpression,isNonLinear,n0->n1:n0->n5:n0->n24:n1->n3:n1->n24:n2->n3:n2->n24:n3->n2:n3->n4:n3->n24:n4->n5:n4->n24:n5->n22:n5->n24:n6->n7:n6->n20:n6->n24:n7->n8:n7->n14:n7->n24:n8->n9:n8->n14:n8->n24:n9->n10:n9->n14:n9->n24:n10->n11:n10->n14:n10->n24:n11->n12:n11->n14:n11->n24:n12->n13:n12->n14:n12->n24:n13->n14:n13->n19:n13->n24:n14->n15:n14->n16:n14->n24:n15->n16:n15->n19:n15->n24:n16->n17:n16->n18:n16->n24:n17->n18:n17->n19:n17->n24:n19->n21:n19->n24:n20->n21:n20->n24:n21->n22:n21->n24:n22->n6:n22->n23:n22->n24:n23->n24:n23->n28:n24->n26:n25->n26:n26->n25:n26->n27:n27->n28:
